Sentence,Words,Template,Keywords,Slope_F1A,Inflection_F1A,Screening_F1A,Screening_F1P,Screening_F1V,Screening_F2A,Screening_F2P,Screening_F2V,Screening_M1A,Screening_M1P,Screening_M1V,Screening_M2A,Screening_M2P,Screening_M2V,Naturalness,Discomfort,Responses
19,Det var vores rektor som var nået frem før halvlegen,9,"rektor, nået, halvlegen",6.302064083,-4.538459107,1,1,1,1,1,1,1,1,1,1,1,1,5.13,0,15
20,Lastbilerne larmede og støjede tæt ved vores hus,10,"larmede, støjede, hus",13.09483724,-4.6299973,1,1,1,1,1,1,1,1,1,1,1,1,6.47,0,15
21,Der er banker der udbetaler renter hvert kvartal,1,"banker, udbetaler, kvartal",27.28959254,-6.131555745,1,1,0,1,1,1,1,1,1,1,1,1,5.5,0,8
22,I bliver rige hvis efterspørgslen pludselig stiger,2,"rige, efterspørgslen, stiger",243.5568237,-2.571145752,1,1,1,0,1,1,1,1,0,1,1,1,6.38,0,8
23,Beslutningen har sikret naturen langs med kysten,3,"sikret, naturen, kysten",13.91750649,-4.90063098,1,1,1,1,1,1,1,1,1,1,1,1,4.54,1,13
24,Ledelsen opdagede hvem der havde repareret lampen,4,"ledelsen, opdagede, lampen",2.500652548,-9.133771009,1,1,1,1,1,0,0,1,0,1,1,1,5.75,0,8
25,Det var rigtigt at familierne gerne måtte leje en bolig,5,"rigtigt, familierne, bolig",4.567589888,-4.103431791,1,1,1,1,1,1,1,1,1,1,1,1,4.31,0,13
26,Under de omstændigheder vil vi gerne arbejde på skibet,6,"omstændigheder, arbejde, skibet",10.44523225,-5.836336053,1,1,1,1,1,1,1,1,1,1,1,1,5.57,0,14
27,En dommer havde lige tildelt dem endnu et bidrag,7,"dommer, tildelt, bidrag",5.804488308,-2.974997657,1,1,1,1,1,1,1,1,0,1,0,1,3.38,1,13
28,Du registrerede vel at vi anvendte alle dine materialer,8,"registrerede, anvendte, materialer",5.569351157,-2.711679441,1,1,1,1,1,1,1,1,0,1,1,1,5.15,0,13
29,Det er vejret som næsten har ødelagt vores forsøg,9,"vejret, ødelagt, forsøg",15.12604616,-4.68802685,1,1,1,1,1,1,1,1,1,1,1,1,4.31,0,13
30,De drøftede både revolutionen og dens betydning,10,"drøftede, revolutionen, betydning",31.34587538,-4.440152345,1,1,1,1,1,1,1,1,0,1,1,1,6.21,0,14
31,Der var flere fag der virkelig inspirerede de studerende,1,"fag, inspirerede, studerende",34.92332139,-6.343723093,1,1,1,1,1,1,1,1,1,1,1,1,6.31,0,13
32,Vi var trygge fordi min søster havde anbefalet stedet,2,"trygge, søster, stedet",10.08748098,-7.304390998,0,1,1,1,1,1,1,1,1,1,1,1,6.63,0,8
33,Det her brød passer faktisk meget fint til suppen,3,"brød, passer, suppen",10.42232096,-6.257365035,1,1,1,1,1,1,1,1,1,1,1,1,6.15,0,13
34,Firmaet havde forandret hvordan de udskrev regninger,4,"forandret, udskrev, regninger",17.60065145,-3.177805156,1,1,1,1,1,1,1,1,1,1,0,1,3.77,3,13
35,Det er glædeligt at flertallet kan påvirke samfundet,5,"glædeligt, flertallet, samfundet",13.41290858,-5.212399029,1,1,1,1,1,1,1,1,1,1,1,1,5.08,0,13
36,Af princip lukker de ned for faglige diskussioner,6,"princip, lukker, diskussioner",27.85483609,-5.558288122,1,0,1,1,1,0,1,1,1,1,1,1,4.77,0,13
37,Hendes chauffør rakte hende en værdifuld ring,7,"chauffør, rakte, ring",3.525757795,-4.354798421,1,1,1,1,1,0,0,1,1,1,1,1,4.85,0,13
38,Jeg vil tilføje at han har offentliggjort den her artikel,8,"tilføje, offentliggjort, artikel",16.98737518,-4.521622403,1,1,1,1,1,1,1,1,1,1,1,1,5,0,13
39,Det bliver pizza som skal erstatte den sædvanlige ret,9,"pizza, erstatte, ret",8.63402852,-5.973654904,1,1,1,1,1,1,1,1,1,1,1,1,4.79,0,14
40,Dyrlægen pegede netop på dens stærke ben,10,"Dyrlægen, pegede, ben",18.73017808,-3.736799848,1,1,1,1,1,0,1,1,1,1,1,1,5.5,0,8
41,Der er et tysk par der har budt på sommerhuset,1,"par, budt, sommerhuset",13.25421319,-3.217549161,1,1,1,0,1,1,1,1,1,1,1,1,6.63,0,8
42,De var populære før teateret hævede niveauet,2,"populære, teateret, niveauet",7.950714609,-2.057495215,1,1,1,1,1,1,1,1,1,1,0,1,4.75,0,16
43,Det her nummer overraskede os under premieren,3,"nummer, overraskede, premieren",25.63881627,-2.365273628,1,1,1,1,1,1,1,1,1,1,0,1,6.13,0,16
44,De har selv valgt hvem der skal designe huset,4,"valgt, designe, huset",10.20918108,-5.699586889,1,1,1,0,1,0,1,1,1,1,0,1,6.63,0,16
45,Det var smart at pigerne arrangerede min fødselsdag,5,"smart, pigerne, fødselsdag",30.00453292,-7.809575122,1,1,1,1,1,1,1,1,1,1,1,1,5.81,0,16
46,I oktober modtog vi en spændende ansøgning,6,"oktober, modtog, ansøgning",19.79373767,-5.132445556,0,1,1,1,1,1,1,1,1,1,1,1,6.44,0,16
47,Præsten havde vist forklaret det til pensionisterne,7,"præsten, forklaret, pensionisterne",11.06737873,-5.364952615,0,1,1,1,1,0,1,1,1,1,1,1,5.88,0,16
48,Han tillader jo at vi blander os i efterforskningen,8,"tillader, blander, efterforskningen",23.47085313,-4.471617835,1,1,1,1,1,1,1,1,0,1,1,1,5.94,1,16
49,Det var vores bus som havde passeret grænsen,9,"bus, passeret, grænsen",22.19909873,-6.577236135,1,1,1,1,1,1,1,1,1,1,1,1,5.44,0,16
50,Jeg foretrækker altid fred og ro på min ferie,10,"foretrækker, fred, ferie",10.52591186,-5.97893726,1,1,1,1,1,1,1,1,1,1,1,1,6.81,0,16
51,Der var nogle lærere der ville oprette en forening,1,"lærere, oprette, forening",14.60736308,-5.482655925,1,1,1,1,1,0,1,0,0,1,0,1,6.38,0,8
52,Hun bliver ret begejstret når hun griber bolden,2,"begejstret, griber, bolden",9.165323173,-2.903848607,1,1,1,0,1,1,1,1,1,1,1,1,6.38,0,8
53,Koen vil jo bare gerne varme sig i solen,3,"koen, varme, solen",12.28090176,-2.475192948,0,1,1,1,1,1,1,0,1,1,1,1,5.56,0,16
54,Han skal varsle hvornår han maler vores tag,4,"varsle, maler, tag",16.93129386,-5.262235134,1,1,1,1,1,1,1,1,1,1,0,1,5.44,0,16
55,Det er rimeligt at kandidaten selv finder en fotograf,5,"rimeligt, finder, fotograf",12.12940742,-3.25816268,1,1,1,1,1,1,0,1,1,1,1,1,6.44,0,16
56,I løbet af vinteren havde de nået en konklusion,6,"vinteren, nået, konklusion",11.26659729,-3.12730514,1,1,1,1,1,1,1,1,1,1,1,1,5.88,1,16
57,Dagbladene vil underholde os frem til valget,7,"dagbladene, underholde, valget",13.13243049,-2.197424352,1,1,1,1,1,1,1,1,1,1,1,1,5.81,1,16
58,Han har indrømmet at han sparkede til håndbolden,8,"indrømmet, sparkede, håndbolden",12.72263522,-2.450844977,1,1,1,1,1,1,1,1,1,1,1,1,6.38,0,16
59,Det er min ven som har den røde campingvogn,9,"ven, røde, campingvogn",11.32646825,-2.659458306,1,1,1,1,1,1,1,1,1,1,1,1,6.75,0,8
60,De vil lancere en plade lige før eller efter jul,10,"lancere, plade, jul",18.20638034,-3.011101577,1,1,1,1,0,1,1,1,0,1,1,1,6.19,0,16
61,Der er en elev der tit vinker til vores rektor,1,"elev, vinker, rektor",22.51319812,-3.898154338,1,1,1,1,1,1,1,1,1,1,1,1,6.63,0,8
62,Hun blev ansat fordi hun imponerede landstræneren,2,"ansat, imponerede, landstræneren",11.01224325,-4.905597627,1,1,1,1,1,1,1,1,1,1,1,1,6.31,0,16
63,Partiet skal behandle min generation med respekt,3,"behandle, generation, respekt",33.33347991,-5.790190693,1,1,1,0,1,1,1,1,1,1,1,1,6.19,0,16
64,Vi kan stadig huske hvad vi indspillede i studiet,4,"huske, indspillede, studiet",15.22063765,-6.122268528,1,1,1,0,1,1,1,1,1,1,1,1,6.5,0,8
65,Det er interessant at turisterne må ryge i bussen,5,"interessant, ryge, bussen",5.399101423,-3.804392826,1,1,1,1,0,1,1,1,1,1,1,1,6.19,0,16
66,I december nedlagde de endelig stationen,6,"december, nedlagde, stationen",15.83511019,-5.635475721,1,1,1,1,1,0,1,1,1,1,1,1,6.75,0,16
67,Min kone råbte et eller andet til maleren,7,"kone, råbte, maleren",14.55299249,-3.058784351,1,1,1,1,1,0,1,1,1,1,1,1,6.41,0,17
68,Han udelukker at de begynder i den her måned,8,"udelukker, begynder, måned",16.69526472,-3.312057792,1,1,1,1,1,1,1,1,1,1,1,1,5.5,2,16
69,Det var en titel som afspejlede hendes succes,9,"titel, afspejlede, succes",8.444346014,-6.53223051,1,1,1,1,1,1,1,1,1,1,1,1,5.31,0,16
70,De sammenlignede materialet med beton og mursten,10,"sammenlignede, beton, mursten",28.38117385,-2.353900517,1,1,1,1,1,1,1,1,1,1,1,1,6.25,0,8
71,Der er nogle gamle råd der bare mangler kvalitet,1,"råd, mangler, kvalitet",38.99434394,-3.974557281,1,1,1,1,0,1,1,1,1,1,1,1,4.06,1,16
72,Han er kendt selvom han kun tager sære roller,2,"kendt, tager, roller",5.038138733,-0.493597013,1,0,1,0,0,1,1,0,1,1,0,1,5.44,0,16
73,Dagbladene beskæftiger sig med situationen i udlandet,3,"beskæftiger, situationen, udlandet",21.32991246,-5.424025252,1,1,1,1,1,1,1,1,1,1,1,1,6.38,0,16
74,Det afhang af hvor de kunne anbringe stolene,4,"afhang, anbringe, stolene",27.281965,-1.010569809,1,1,1,1,1,1,1,1,1,1,1,1,5.38,0,16
75,Det var skønt at juristen engagerede sig i handlen,5,"skønt, engagerede, handlen",12.22778014,-5.196199007,1,1,0,1,1,0,1,1,1,1,1,1,5.25,1,16
76,I sin fritid rider hun af og til rundt på et stadion,6,"fritid, rider, stadion",9.589853991,-5.307596368,1,1,1,1,1,1,1,1,0,1,0,1,4.5,1,16
77,De havde udsendt mailen til alle embedsmændene,7,"udsendt, mailen, embedsmændene",8.589125657,-2.846745051,1,1,1,1,1,1,1,1,1,1,0,1,6.19,0,16
78,Han argumenterede for at vi skulle udgive en tegneserie,8,"argumenterede, udgive, tegneserie",15.31808845,-5.199072157,1,1,1,1,0,1,1,1,1,1,1,1,6.5,0,8
79,Det er toppen som dominerer i superligaen,9,"toppen, dominerer, superligaen",14.53701632,-4.353780965,1,1,1,1,1,1,1,1,1,1,1,1,4.69,2,16
80,Alle flaskerne skal selvfølgelig indeholde øl,10,"flaskerne, indeholde, øl",12.8830857,-4.847048946,1,1,1,1,1,1,1,1,0,1,1,1,5.76,0,17
81,Der er mange bilister der godt kan håndtere tæt trafik,1,"bilister, håndtere, trafik",23.21270897,-4.508530642,1,1,0,1,1,1,1,1,1,1,1,1,6.06,0,16
82,Hun bliver dygtig hvis hun træner hver eftermiddag,2,"dygtig, træner, eftermiddag",14.03480933,-6.22678989,1,1,1,1,1,1,1,1,1,1,1,1,6.75,0,8
83,Prisen hænger næsten altid sammen med efterspørgslen,3,"prisen, hænger, efterspørgslen",38.22799802,-6.494866197,1,1,1,1,1,1,1,1,1,1,1,1,6.38,0,16
84,Jeg bestemte hvad vi skulle lege sidste søndag,4,"bestemte, lege, søndag",17.75365926,-6.753991919,0,1,1,1,1,1,1,1,0,1,1,1,5.94,0,16
85,Det var meget vigtigt at bandet kunne spille i takt,5,"vigtigt, spille, takt",12.56147685,-6.222847847,0,1,1,1,1,1,1,1,1,1,1,1,6.06,0,16
86,På fredag skal vi rejse ned til et billigt hotel,6,"fredag, rejse, hotel",11.08128404,-9.153854198,1,1,1,1,1,1,1,1,1,1,1,0,5.59,0,17
87,De vil gerne overføre deres omkostninger til maj,7,"overføre, omkostninger, maj",15.30927715,-4.574597317,1,1,1,1,1,1,1,0,1,1,0,1,5.12,1,17
88,Han opmuntrede os til at teste chokoladen,8,"opmuntrede, teste, chokoladen",15.27489442,-6.571188886,0,1,1,1,1,1,1,1,1,1,0,1,5.25,0,8
89,Det er en sejr som virkelig kan forene vores by,9,"sejr, forene, by",14.10303009,-4.413014334,1,0,1,1,1,0,1,0,1,1,1,1,5.76,0,17
90,De tjekkede både gulvet og loftet i stuen,10,"tjekkede, gulvet, stuen",14.42698693,-6.779391955,1,1,1,1,1,1,1,1,1,1,1,1,6.12,1,17
91,Der var flere deltagere der sprang over foredraget,1,"deltagere, sprang, foredraget",16.18581444,-7.135203168,1,1,1,1,1,1,1,1,1,1,1,1,4.71,1,17
92,Han var lettet fordi de havde underskrevet dokumentet,2,"lettet, underskrevet, dokumentet",22.40133948,-7.08062916,1,1,1,1,1,1,1,1,1,1,1,1,6.06,0,17
93,Min kollega glemte sin taske på biblioteket,3,"kollega, taske, biblioteket",13.47335752,-6.079321178,0,1,1,1,1,1,1,1,0,1,1,1,6.88,0,8
94,Hun har planlagt hvordan vi kan dele alle udgifterne,4,"planlagt, dele, udgifterne",18.36701243,-4.261635291,1,1,1,1,1,0,1,1,1,1,1,1,6.31,0,16
95,Det er korrekt at månen bevæger sig gennem rummet,5,"korrekt, månen, rummet",16.27677204,-3.156298052,1,1,1,1,1,1,1,0,1,1,1,1,6,0,8
96,Under dansen smed en herre sin hat op i luften,6,"dansen, hat, luften",15.57895006,-3.919746373,1,1,1,1,1,1,1,1,1,1,0,1,5.63,0,8
97,Hun har ofte hældt en lille smule olie i sit hår,7,"hældt, olie, hår",17.08346594,-0.51892944,1,1,1,1,1,1,1,1,1,1,0,1,5.25,0,16
98,Vi konkluderede at vi burde igangsætte madlavningen,8,"konkluderede, igangsætte, madlavningen",12.18597974,-4.310004515,1,1,1,1,0,1,1,1,1,1,1,1,5.63,0,8
99,Det var en replik som instruktøren havde foreslået,9,"replik, instruktøren, foreslået",245.8945703,-5.111691526,1,1,1,1,1,1,1,1,0,1,1,1,6.29,0,17
100,Vi opfordrer folk til at ringe til vores talsmand,10,"folk, ringe, talsmand",8.239212801,-6.080609796,1,1,1,1,1,1,1,1,1,1,1,1,5.88,1,17
101,Der var medier der helst ville hylde parlamentet,1,"medier, hylde, parlamentet",9.898043149,-0.940156984,0,1,1,1,1,1,1,1,1,1,1,1,6,0,8
102,De er ivrige fordi en motorvej kan forbinde områderne,2,"ivrige, motorvej, områderne",10.28246136,-2.266633298,1,1,1,1,1,1,1,1,0,1,1,1,5.38,0,8
103,Vores stykke tiltalte faktisk en seriøs forfatter,3,"stykke, tiltalte, forfatter",11.5457475,-3.829581862,1,1,1,1,1,1,1,1,1,1,1,0,4.5,0,16
104,Han har også lært hvordan man driver forretning,4,"lært, driver, forretning",241.7996595,-7.252078309,1,1,1,1,1,1,1,1,1,1,1,1,6.38,0,16
105,Det er klart at pressen vil foretrække en sejr,5,"klart, pressen, sejr",9.580128881,-5.513504611,0,1,1,1,1,0,1,1,1,1,1,1,6.13,0,8
106,På den egn koger man typisk ænderne i vin,6,"koger, ænderne, vin",11.50482001,-1.067364602,1,1,1,1,1,1,1,1,1,1,0,1,5.56,0,16
107,Deres advokat overbeviste os på fem minutter,7,"advokat, overbeviste, minutter",24.67460418,-6.078273682,1,1,1,0,1,0,1,1,1,1,1,1,6.88,0,8
108,Hun fejrer at hun lige har oprettet et hospital,8,"fejrer, oprettet, hospital",29.52987593,-6.687976779,1,1,1,1,1,0,1,1,1,1,1,1,2.25,0,16
109,Det var en sønderjysk pige som scorede målet,9,"pige, scorede, målet",11.6365102,-5.551117034,1,1,1,1,1,1,1,1,1,1,1,1,6,0,16
110,Han takkede både for forestillingen og for omgangen,10,"takkede, forestillingen, omgangen",8.896444058,-4.593918307,0,1,1,1,1,1,1,1,0,1,1,1,5.2,0,15
111,Der er kampagner der opfordrer til mindre forbrug,1,"kampagner, opfordrer, forbrug",17.02779093,-4.68615532,1,1,1,1,1,0,1,1,1,1,0,1,6.33,0,15
112,Jeg er ansvarlig imens selskabet undersøger kontrakten,2,"ansvarlig, selskabet, kontrakten",13.49819696,-5.602064728,1,1,1,1,1,1,1,1,0,1,0,1,4.6,0,15
113,Kunstneren havde virkelig boet midt på en strand,3,"kunstneren, boet, strand",8.469315104,-1.623330358,1,1,1,1,1,1,1,1,1,1,1,1,4.8,0,15
114,Vi fornemmede hvem der kunne bruge mere papir,4,"fornemmede, bruge, papir",11.81075391,-2.761269608,1,1,1,1,1,1,1,1,1,1,1,1,4.13,0,8
115,Det var forståeligt at anbefalingen imponerede forhandleren,5,"forståeligt, anbefalingen, forhandleren",7.340249194,-5.369765916,1,1,1,0,1,1,1,1,1,1,1,1,4.75,0,16
116,Efter bare et døgn meldte vi os til et nyt løb,6,"døgn, meldte, løb",7.815644816,-1.094040178,1,1,1,1,1,1,1,1,1,1,1,1,6.5,0,8
117,En eller anden koncern ville betale os en præmie,7,"koncern, betale, præmie",15.51777363,-1.193320747,1,1,1,1,1,1,1,1,1,1,1,1,5.13,0,8
118,Vi må antage at de vil udarbejde en konklusion,8,"antage, udarbejde, konklusion",11.85841279,-4.79689045,1,1,1,1,1,1,1,1,0,1,1,1,6.25,0,8
119,Det er en teknisk fejl som har afbrudt showet,9,"fejl, afbrudt, showet",7.898788813,-5.465959873,1,1,1,1,1,1,1,1,1,1,1,1,5.67,0,15
120,Han havde ryddet op på tanken om natten,10,"ryddet, tanken, natten",12.00370253,-4.442507651,1,1,1,1,1,1,1,1,1,1,1,1,5.53,0,15
121,Der var nogle eksperter der blandede sig i debatten,1,"eksperter, blandede, debatten",13.65547868,-4.524424318,1,1,1,1,1,1,1,1,0,1,1,1,6.5,0,16
122,Vi er nervøse for om de vil aflyse spillet,2,"nervøse, aflyse, spillet",14.91455028,-5.22279162,1,1,1,1,1,1,1,1,1,1,1,1,6.25,1,16
123,De bager faktisk kun rugbrød omkring jul,3,"bager, rugbrød, jul",19.87495034,-3.341095291,1,1,1,1,1,0,1,0,0,1,1,1,6.13,0,8
124,Jeg spurgte dem om hvem der havde varetaget opgaven,4,"spurgte, varetaget, opgaven",7.81151788,-7.680549974,1,1,1,1,1,0,1,1,1,1,1,1,5.69,1,16
125,Det er godt at næstformanden overtog kontrollen,5,"godt, næstformanden, kontrollen",6.684089388,-9.32526395,1,1,1,1,1,1,1,1,1,1,1,1,6.31,0,16
126,Hver måned afsætter de tyve kilo kartofler,6,"måned, afsætter, kartofler",16.29412691,-3.995545724,1,1,1,1,1,1,1,1,1,0,1,1,6.13,0,16
127,Damerne havde fulgt os helt hen til landsbyen,7,"damerne, fulgt, landsbyen",23.7461143,-5.20276041,1,1,1,1,1,1,1,1,1,1,1,1,5.94,0,16
128,Han håber at vi efterlader vores halvdel på øen,8,"håber, halvdel, øen",7.779947456,-1.875345409,1,1,1,1,1,1,1,1,0,1,0,0,4.19,0,16
129,Det var værten som pludselig forlod lejligheden,9,"værten, forlod, lejligheden",8.882895862,-1.636645114,1,1,1,1,1,1,0,1,1,1,1,1,5.65,0,17
130,Han betragter ofte de andre bilister eller trafikken,10,"betragter, bilister, trafikken",13.00427998,-7.444491264,1,1,1,1,1,1,1,1,0,0,1,1,5.25,0,8
131,Der er regioner der stadig tillader afstemninger,1,"regioner, tillader, afstemninger",9.76293978,-3.696572895,1,1,1,1,1,0,1,1,1,1,1,1,6,0,16
132,Hun var meget seriøs mens retssagen foregik,2,"seriøs, retssagen, foregik",4.543312114,-1.295018358,1,1,1,1,1,1,1,1,1,1,1,1,5.31,0,16
133,Dagbladet havde dokumenteret hele begivenheden,3,"dagbladet, dokumenteret, begivenheden",14.30083965,-5.580761778,1,0,1,1,1,0,1,0,1,1,1,1,6.5,0,8
134,De så hvordan han bevægede sig med bolden,4,"så, bevægede, bolden",18.89811377,-7.27280884,1,1,1,1,1,1,1,1,1,1,1,1,6.25,0,16
135,Det var specielt at en ingeniør havde forfattet et eventyr,5,"specielt, ingeniør, eventyr",7.750892541,-6.39504029,1,1,1,1,1,1,1,1,0,1,0,1,5.65,0,17
136,På søndag skal vi nok fordele alle rollerne,6,"søndag, fordele, rollerne",14.64516507,-7.972077129,1,1,1,1,1,1,1,1,1,1,1,1,6.5,0,16
137,Hun kunne selvfølgelig forvandle mælk til smør,7,"forvandle, mælk, smør",44.77846425,-1.161041838,1,1,1,0,0,1,1,1,1,1,1,1,5.88,0,16
138,De påpeger at de har orienteret deres købere,8,"påpeger, orienteret, købere",7.576280875,-3.134346126,1,1,1,1,1,1,1,1,1,0,1,1,6.38,0,8
139,Det er en ide som kan fremme beskæftigelsen,9,"ide, fremme, beskæftigelsen",13.17159013,-3.717788187,1,1,1,1,1,1,1,0,1,1,1,1,6.19,0,16
140,Vi burde kende både sproget og traditionerne,10,"kende, sproget, traditionerne",13.22391103,-4.008635665,1,1,1,1,1,1,1,1,1,1,1,1,6.19,0,16
141,Der var en overlæge der smilede til min tante,1,"overlæge, smilede, tante",10.58831545,-4.466703563,1,1,1,1,1,1,1,1,1,1,1,1,6.63,0,8
142,Vi er optimistiske selvom vores træner er stoppet,2,"optimistiske, træner, stoppet",17.21191404,-4.553415822,1,1,1,1,0,1,1,1,1,1,1,1,6.44,0,16
143,Den lokale købmand lukkede tilbage i august,3,"købmand, lukkede, august",29.02272029,-4.746996669,1,1,1,1,1,1,1,1,0,1,1,1,6.63,0,8
144,Jeg har sagt hvad han skal øve sig på inden koncerten,4,"sagt, øve, koncerten",10.32903327,-4.737707904,1,1,1,1,1,1,1,1,0,1,1,1,5.94,0,16
145,Det er unikt at en film kan udløse så meget glæde,5,"unikt, film, glæde",23.27218224,-5.441190368,1,1,1,1,1,1,1,1,1,1,1,1,6.13,0,8
146,På onsdag skal jeg ud og handle med en veninde,6,"onsdag, handle, veninde",13.5976399,-5.633159952,1,1,1,1,1,1,1,1,1,1,1,1,6.12,0,17
147,Han udviste altid respekt for sine konkurrenter,7,"udviste, respekt, konkurrenter",10.75854668,-6.572901878,1,1,1,1,1,0,1,1,1,1,1,1,6.13,0,16
148,De omtalte heldigvis at vi har øget omsætningen,8,"omtalte, øget, omsætningen",8.790949998,-3.457246079,1,1,1,1,1,1,1,1,1,1,1,1,5,0,16
149,Det var en amerikaner som havde glemt frugterne,9,"amerikaner, glemt, frugterne",15.47206754,-3.21457347,1,1,1,1,1,1,1,1,0,1,1,1,4.56,0,16
150,Hun forlanger altid salt og fisk til sin fødselsdag,10,"forlanger, salt, fødselsdag",10.30775406,-8.596658815,1,1,1,1,1,1,1,1,1,1,0,1,3.94,1,16
151,Der er mange følelser der minder om kærlighed,1,"følelser, minder, kærlighed",17.62715728,-5.314057472,1,1,1,1,1,1,1,1,1,1,1,1,5.81,0,16
152,Hun var meget kreativ da hun indrettede sit sommerhus,2,"kreativ, indrettede, sommerhus",14.60139914,-5.403831486,1,1,1,1,1,1,1,1,1,1,1,1,6.13,0,16
153,Min bror havde faktisk allerede iført sig dragten,3,"bror, iført, dragten",11.1413107,-3.901855106,1,1,1,1,1,1,1,1,1,1,1,1,6.25,0,8
154,Vi har beskrevet hvordan man kan følge med i sagen,4,"beskrevet, følge, sagen",219.4625076,-5.046188423,1,1,1,1,1,0,1,1,1,1,1,1,6.06,0,16
155,Det var vanvittigt at parret bidrog med en hel million,5,"vanvittigt, bidrog, million",7.182112054,-0.832032009,1,1,1,1,1,1,1,0,0,0,1,1,5.69,0,16
156,Efter pausen kan vi rette vores fokus mod fremtiden,6,"pausen, rette, fremtiden",10.36666652,-6.31689555,1,1,1,1,1,1,1,1,1,1,1,0,5.94,0,16
157,Det vil medføre en gevinst for hele samfundet,7,"medføre, gevinst, samfundet",14.90666208,-5.598326859,1,1,1,1,1,1,1,1,1,1,0,1,6.88,0,8
158,Vi fastslog at vi gerne vil hjælpe passagererne,8,"fastslog, hjælpe, passagererne",11.2499221,-4.084330364,1,1,1,1,1,1,1,1,1,1,0,1,5.29,0,17
159,Det er kun pressen som anvender meningsmålingen,9,"pressen, anvender, meningsmålingen",13.14519525,-2.129184736,1,1,1,1,1,1,1,1,1,1,1,1,5.81,0,16
160,De har muligvis skadet enten taget eller dørene,10,"skadet, taget, dørene",9.97631697,-1.882928468,1,1,1,0,1,0,1,1,1,1,1,1,5.06,0,16
161,Der var en komponist der virkelig begejstrede kritikerne,1,"komponist, begejstrede, kritikerne",34.7567035,-4.001165576,1,1,1,1,1,1,1,1,0,1,1,1,5.38,0,16
162,De bliver lykkelige når deres favorit scorer,2,"lykkelige, favorit, scorer",14.22645285,-2.156743201,1,1,1,1,1,1,1,1,1,1,1,1,6.13,0,8
